,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
474,1.0,0.0,0.0303699354131635,8.0,8.0,43.0,5,0.0,16,14580000.0,3.0,NA,64.0,1,55.774305,37.642132
475,1.0,1.0,0.0331777141014886,3.0,NA,28.0,8,1.0,7,14615199.0,1.0,NA,35.9,1,55.730857,37.643866
476,0.0,1.0,0.02119664409759119,1.0,NA,120.0,7,0.0,7,85690000.0,4.0,NA,155.8,1,55.732514,37.619549
477,0.0,0.0,0.014778929460553715,8.0,NA,156.0,10,0.0,15,127008600.0,4.0,NA,156.0,1,55.768025,37.623483
478,0.0,0.0,0.027577278346496384,2.0,NA,NA,14,0.0,7,388646316.0,3.0,NA,170.0,1,55.758225,37.592608
479,0.0,0.0,0.03967372239909233,3.0,NA,NA,7,0.0,8,14630000.0,1.0,NA,38.0,1,55.767944,37.582781
480,0.0,1.0,0.0711800766858253,5.0,NA,NA,13,0.0,21,14661025.0,2.0,1,45.7,1,55.761558,37.549067
481,0.0,0.0,0.02324684877569506,6.0,10.0,20.0,7,0.0,24,14700000.0,1.0,NA,37.0,1,55.753286,37.59657
482,0.0,1.0,0.02589929361970971,1.0,8.0,34.0,5.0,0.0,5.0,14700000.0,2.0,0.0,65.0,1.0,55.73554,37.63827
483,0.0,1.0,0.041198383524114,2.0,12.0,45.0,5.0,0.0,6.0,14700000.0,3.0,1.0,65.0,1.0,55.753043,37.661006
484,0.0,1.0,0.041198383524114,2.0,23.0,36.0,5.0,0.0,6.0,14700000.0,2.0,1.0,65.0,1.0,55.753043,37.661006
485,0.0,1.0,0.058977750423356005,1.0,7.5,36.0,3.0,0.0,5.0,14700000.0,3.0,1.0,65.0,1.0,55.771211,37.676134
486,1.0,0.0,0.05293377557854757,2.0,15.4,42.4,11,0.0,4,14700000.0,2.0,NA,77.8,1,55.742443,37.671534
487,1.0,1.0,0.0303699354131635,19.0,20.5,10.9,10,1.0,19,14702600.0,1.0,NA,45.1,1,55.774305,37.642132
488,0.0,0.0,0.057247645934129836,9.0,NA,NA,5,0.0,10,14723200.0,1.0,NA,43.0,1,55.774958,37.672971
489,1.0,1.0,0.05406014402496491,5.0,10.0,30.0,5.0,0.0,11.0,14790000.0,2.0,0.0,51.0,0.0,55.765645,37.567087
490,0.0,0.0,0.06631049597914665,1.0,NA,52.3,10,0.0,6,14800000.0,3.0,1,71.2,1,55.76018,37.553819
