,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
95,False,False,0.056594642511457724,5,8.0,26.0,9,True,6,8230204,1,False,30.6,True,55.775753,37.671938
96,False,True,0.056594642511457724,4,8.0,28.6,6,True,8,8232146,1,False,28.6,True,55.775753,37.671938
97,False,True,0.06699216031745672,7,10.0,19.0,5,False,12,8299000,1,True,35.0,True,55.772639,37.684075
98,False,True,0.06699216031745672,7,10.0,17.0,5,False,12,8300000,1,True,35.0,False,55.772639,37.684075
99,False,True,0.056594642511457724,2,10.0,37.9,6,True,7,8375472,1,False,37.9,True,55.775753,37.671938
100,False,False,0.05027642207834481,5,6.0,19.0,7,False,5,8400000,1,True,31.0,True,55.762505000000004,37.570312
101,True,False,0.05174657056269565,9,5.1,19.0,6,False,9,8400000,1,True,32.0,True,55.771418000000004,37.668434999999995
102,True,False,0.08051343014677274,7,8.0,19.0,14,False,16,8400000,1,True,39.0,True,55.775262,37.697388000000004
103,False,True,0.051907676359091895,6,11.5,18.5,5,False,17,8500000,1,True,37.0,True,55.734805,37.668156
104,False,False,0.05267749087608881,1,6.0,26.6,7,False,9,8500000,2,False,42.0,True,55.755281999999994,37.567159000000004
105,True,True,0.04207508633384111,6,9.0,18.0,10,False,16,8500000,1,True,35.0,True,55.784859999999995,37.59153
106,True,True,0.06005488144189147,3,6.0,28.7,8,False,5,8500000,2,True,43.5,True,55.770537,37.562164
107,False,True,0.056594642511457724,4,10.0,37.0,6,True,9,8513060,1,False,37.0,True,55.775753,37.671938
108,True,True,0.08592376217321916,1,12.0,37.0,18,False,13,8600000,2,False,52.0,True,55.771034,37.703972
109,False,True,0.056594642511457724,4,10.0,36.8,6,True,9,8611226,1,False,36.8,True,55.775753,37.671938
110,False,False,0.055122784263856084,13,9.0,23.1,2,False,14,8650000,1,True,38.8,True,55.780046,37.668237
111,True,False,0.057550513472946874,2,16.0,20.0,7,True,44,8690500,1,True,45.5,True,55.77024399999999,37.564689
112,True,False,0.052273106814117606,9,16.0,94.5,10,False,11,93351321,3,False,142.0,True,55.734973,37.571013
113,False,False,0.056594642511457724,4,7.0,22.9,9,True,6,7183146,1,False,24.7,True,55.775753,37.671938
114,False,True,0.0260745743205933,3,13.0,163.0,9,False,8,497810207,4,True,261.3,True,55.742514,37.596264
115,True,False,0.03887343541546278,4,6.0,29.0,6,False,9,8700000,2,True,44.0,False,55.791343999999995,37.629546999999995
116,True,True,0.07012410345237648,12,8.0,19.0,10,False,17,8700000,1,True,39.0,True,55.742103,37.68897
117,False,True,0.056594642511457724,2,13.0,52.7,6,True,7,8839861,1,False,52.7,True,55.775753,37.671938
118,False,True,0.056594642511457724,2,11.0,40.3,6,True,7,8851913,1,False,40.3,True,55.775753,37.671938
119,False,True,0.056594642511457724,3,10.0,39.4,6,True,8,8896178,1,False,39.4,True,55.775753,37.671938
120,True,True,0.05860856955258655,12,10.5,20.0,3,False,22,8900000,1,True,40.0,False,55.745473,37.67784
121,True,True,0.06000697403635441,1,7.0,31.0,9,False,12,8900000,2,True,47.5,True,55.728591,37.67431
122,False,True,0.056594642511457724,3,11.0,43.7,6,True,8,8903736,1,False,43.7,True,55.775753,37.671938
123,False,True,0.056594642511457724,4,13.0,49.9,6,True,9,8943624,1,False,49.9,True,55.775753,37.671938
124,True,True,0.03936069157166937,3,5.0,18.0,11,False,9,9000000,1,True,31.0,True,55.765088,37.657493
125,False,True,0.0379594333598392,1,9.0,40.0,8,False,8,9000000,2,True,52.0,True,55.788054,37.635979
126,False,True,0.03749243208969009,4,7.0,17.0,4,False,12,9000000,1,True,33.0,True,55.753889,37.657305
127,True,True,0.061598280138326925,13,8.0,19.0,10,False,17,9000000,1,True,38.0,True,55.740705000000005,37.680023
128,False,True,0.060430019899053285,1,10.0,20.0,7,False,12,9000000,1,True,40.0,True,55.768060999999996,37.678514
129,True,True,0.057717166753052176,5,5.1,21.3,3,False,9,9000000,1,False,31.6,True,55.761872,37.562676
130,False,False,0.05082082045776088,1,8.0,16.0,9,False,16,9000000,1,True,36.7,True,55.771925,37.572369
131,False,False,0.05082082045776088,1,8.0,16.0,5,False,16,9000000,1,True,36.7,True,55.771925,37.572369
132,True,True,0.03945382906639161,7,7.2,31.0,7,False,12,9000000,2,True,48.0,True,55.787801,37.639671
133,True,False,0.057233685229942176,16,10.0,17.0,4,False,21,9000000,1,True,35.0,True,55.781934,37.669603
134,False,True,0.03965514802645335,4,10.0,34.0,3,False,6,9000000,2,True,54.0,True,55.771312,37.655347
135,True,True,0.031550626570643184,12,10.0,19.1,9,False,16,9100000,1,True,38.0,True,55.725995,37.634892
136,False,True,0.056594642511457724,3,13.0,53.3,6,True,8,9117548,1,False,53.3,True,55.775753,37.671938
137,False,False,0.05693732794924593,3,9.0,53.3,5,False,6,9117548,2,False,53.3,True,55.775824,37.67228
138,False,False,0.057550513472946874,4,11.0,33.7,5,True,39,9145500,1,False,45.5,True,55.77024399999999,37.564689
139,True,True,0.023337373738278374,16,9.7,19.0,5,False,16,9199000,1,True,34.2,True,55.776051,37.626556
140,False,False,0.033881933076495716,1,7.0,23.0,8,True,9,10800000,1,True,27.0,True,55.767514,37.588871000000005
141,True,False,0.0727999179738527,13,14.0,57.0,10,False,22,27800000,2,True,107.0,True,55.758072999999996,37.547144
142,True,False,0.05797668242491641,2,12.0,37.2,5,True,13,14891971,1,True,52.1,True,55.742073,37.67661
143,False,False,0.026975566815176214,1,6.0,29.0,6,False,5,9200000,2,True,44.0,True,55.779423,37.627966
144,True,True,0.06529691981250221,9,8.0,19.0,11,False,17,9200000,1,True,38.0,True,55.741080000000004,37.683877
145,False,False,0.057550513472946874,7,11.0,33.3,5,True,39,9230550,1,False,44.7,True,55.77024399999999,37.564689
146,True,False,0.08882088922095101,8,5.0,27.0,7,False,9,9300000,2,True,42.0,True,55.776598,37.705634
147,False,False,0.057014074797366136,2,9.0,42.6,5,False,6,9356608,1,False,42.6,True,55.77629399999999,37.672163
148,False,True,0.06242104548948117,1,6.0,22.0,2,False,9,9390000,2,True,37.0,True,55.774811,37.678559
